Service_Name|Version|Service_Category|Atm_Service_Category|Messaging_Mode|LifeCicleStage|InterfaceType|ServiceProviderName
AcknowledgeWeatherReport(WMSCR)|1.0|Weather|FlightPlanning|Point-to-Point|Verification|Method-Oriented|WeatherMessageSwitchingCenterReplacement
AcknowledgeWeatherReport(WMSCR)|1.0|Weather|ArrivalandDeparture|Point-to-Point|Verification|Method-Oriented|WeatherMessageSwitchingCenterReplacement
AcknowledgeWeatherReport(WMSCR)|1.0|Weather|EnRouteCruise/Oceanic|Point-to-Point|Verification|Method-Oriented|WeatherMessageSwitchingCenterReplacement
AcknowledgeWeatherReport(WMSCR)|1.0|Weather|EnRouteCruise/Oceanic|Point-to-Point|Verification|Method-Oriented|WeatherMessageSwitchingCenterReplacement
AeronauticalCommonServicesDataQuery(ACS-DQ)Deprecated|1.0|Aeronautical|FlightPlanning|Essential|Deprecated|Method-Oriented|AeronauticalInformationManagementModernizationS2(AIMMS2)
AeronauticalCommonServicesDataSubscription(ACS-DS)Deprecated|1.0|Aeronautical|FlightPlanning|Essential|Deprecated|Method-Oriented|AeronauticalInformationManagementModernization(AIMM)
AeronauticalCommonServicesAirspaceConflictDetection(ACS-ACD)|1.0|Aeronautical|FlightPlanning|Routine|Proposed|Method-Oriented|AeronauticalInformationManagementModernization(AIMM)
AeronauticalCommonServicesBusinessProcess(ACS-BP)|1.0|Aeronautical|FlightPlanning|Essential|Verification|Method-Oriented|AeronauticalInformationManagementModernization(AIMM)
AeronauticalCommonServicesBusinessRule(ACS-BR)|1.0|Aeronautical|FlightPlanning|Essential|Verification|Method-Oriented|AeronauticalInformationManagementModernization(AIMM)
AeronauticalCommonServicesDataQuery(ACS-DQ)V2.0|2.0|Aeronautical|FlightPlanning|Essential|Definition|Method-Oriented|AeronauticalInformationManagementModernizationS2(AIMMS2)
AeronauticalCommonServicesDataSubscription(ACS-DS)(v2.0)|2.0|Aeronautical|FlightPlanning|Essential|Definition|Method-Oriented|AeronauticalInformationManagementModernization(AIMM)
